연도,일시,측정소,PM2.5
4,01-03 00:00,공주,0.12190332
4,01-03 01:00,공주,0.11193882
4,01-03 02:00,공주,0.109209344
4,01-03 03:00,공주,0.121280916
4,01-03 04:00,공주,0.12118337
4,01-03 05:00,공주,0.11565744
4,01-03 06:00,공주,0.116651155
4,01-03 07:00,공주,0.118441835
4,01-03 08:00,공주,0.12913308
4,01-03 09:00,공주,0.1316223
4,01-03 10:00,공주,0.13304208
4,01-03 11:00,공주,0.120174
4,01-03 12:00,공주,0.11160009
4,01-03 13:00,공주,0.09506685
4,01-03 14:00,공주,0.097152255
4,01-03 15:00,공주,0.09976144
4,01-03 16:00,공주,0.10344625
4,01-03 17:00,공주,0.104558066
4,01-03 18:00,공주,0.112496585
4,01-03 19:00,공주,0.11518421
4,01-03 20:00,공주,0.11751753
4,01-03 21:00,공주,0.11556855
4,01-03 22:00,공주,0.10910395
4,01-03 23:00,공주,0.11194529
4,01-04 00:00,공주,0.12190332
4,01-04 01:00,공주,0.11193882
4,01-04 02:00,공주,0.109209344
4,01-04 03:00,공주,0.121280916
4,01-04 04:00,공주,0.12118337
4,01-04 05:00,공주,0.11565744
4,01-04 06:00,공주,0.116651155
4,01-04 07:00,공주,0.118441835
4,01-04 08:00,공주,0.12913308
4,01-04 09:00,공주,0.1316223
4,01-04 10:00,공주,0.13304208
4,01-04 11:00,공주,0.120174
4,01-04 12:00,공주,0.11160009
4,01-04 13:00,공주,0.09506685
4,01-04 14:00,공주,0.097152255
4,01-04 15:00,공주,0.09976144
4,01-04 16:00,공주,0.10344625
4,01-04 17:00,공주,0.104558066
4,01-04 18:00,공주,0.112496585
4,01-04 19:00,공주,0.11518421
4,01-04 20:00,공주,0.11751753
4,01-04 21:00,공주,0.11556855
4,01-04 22:00,공주,0.10910395
4,01-04 23:00,공주,0.11194529
4,01-05 00:00,공주,0.12190332
4,01-05 01:00,공주,0.11193882
4,01-05 02:00,공주,0.109209344
4,01-05 03:00,공주,0.121280916
4,01-05 04:00,공주,0.12118337
4,01-05 05:00,공주,0.11565744
4,01-05 06:00,공주,0.116651155
4,01-05 07:00,공주,0.118441835
4,01-05 08:00,공주,0.12913308
4,01-05 09:00,공주,0.1316223
4,01-05 10:00,공주,0.13304208
4,01-05 11:00,공주,0.120174
4,01-05 12:00,공주,0.11160009
4,01-05 13:00,공주,0.09506685
4,01-05 14:00,공주,0.097152255
4,01-05 15:00,공주,0.09976144
4,01-05 16:00,공주,0.10344625
4,01-05 17:00,공주,0.104558066
4,01-05 18:00,공주,0.112496585
4,01-05 19:00,공주,0.11518421
4,01-05 20:00,공주,0.11751753
4,01-05 21:00,공주,0.11556855
4,01-05 22:00,공주,0.10910395
4,01-05 23:00,공주,0.11194529
4,01-08 00:00,공주,0.12190332
4,01-08 01:00,공주,0.11193882
4,01-08 02:00,공주,0.109209344
4,01-08 03:00,공주,0.121280916
4,01-08 04:00,공주,0.12118337
4,01-08 05:00,공주,0.11565744
4,01-08 06:00,공주,0.116651155
4,01-08 07:00,공주,0.118441835
4,01-08 08:00,공주,0.12913308
4,01-08 09:00,공주,0.1316223
4,01-08 10:00,공주,0.13304208
4,01-08 11:00,공주,0.120174
4,01-08 12:00,공주,0.11160009
4,01-08 13:00,공주,0.09506685
4,01-08 14:00,공주,0.097152255
4,01-08 15:00,공주,0.09976144
4,01-08 16:00,공주,0.10344625
4,01-08 17:00,공주,0.104558066
4,01-08 18:00,공주,0.112496585
4,01-08 19:00,공주,0.11518421
