ID,Calories_Burned
TEST_0000,172.45708
TEST_0001,179.07277
TEST_0002,38.55655
TEST_0003,144.25
TEST_0004,208.58368
TEST_0005,179.49886
TEST_0006,85.7783
TEST_0007,31.239355
TEST_0008,75.05292
TEST_0009,51.16737
TEST_0010,126.37915
TEST_0011,33.69064
TEST_0012,0.48194477
TEST_0013,150.54204
TEST_0014,186.79558
TEST_0015,4.833235
TEST_0016,92.05613
TEST_0017,126.14745
TEST_0018,151.34535
TEST_0019,-1.4008307
TEST_0020,45.545155
TEST_0021,86.13564
TEST_0022,10.418026
TEST_0023,88.05492
TEST_0024,2.8724644
TEST_0025,131.67442
TEST_0026,96.01927
TEST_0027,178.39238
TEST_0028,124.410576
TEST_0029,95.29373
TEST_0030,18.204247
TEST_0031,181.95906
TEST_0032,41.176075
TEST_0033,29.804724
TEST_0034,135.6126
TEST_0035,118.69002
TEST_0036,26.53328
TEST_0037,130.08089
TEST_0038,2.303333
TEST_0039,126.86669
TEST_0040,173.69322
TEST_0041,158.35808
TEST_0042,137.90205
TEST_0043,41.481293
TEST_0044,63.80211
TEST_0045,44.14165
TEST_0046,75.94458
TEST_0047,190.0132
TEST_0048,131.48654
TEST_0049,111.21422
TEST_0050,1.0224009
TEST_0051,110.626816
TEST_0052,151.88838
TEST_0053,95.182556
TEST_0054,54.710995
TEST_0055,93.3527
TEST_0056,165.72208
TEST_0057,4.047683
TEST_0058,6.82924
TEST_0059,99.9065
TEST_0060,17.399815
TEST_0061,107.43323
TEST_0062,85.50561
TEST_0063,44.2663
TEST_0064,13.623253
TEST_0065,144.46005
TEST_0066,187.30223
TEST_0067,129.71828
TEST_0068,103.189575
TEST_0069,24.203619
TEST_0070,121.25163
TEST_0071,8.056349
TEST_0072,-0.69780284
TEST_0073,145.95906
TEST_0074,6.8303185
TEST_0075,95.052444
TEST_0076,60.547756
TEST_0077,59.284378
TEST_0078,17.551006
TEST_0079,150.26598
TEST_0080,167.10423
TEST_0081,135.1439
TEST_0082,96.67942
TEST_0083,105.25943
TEST_0084,42.65866
TEST_0085,170.03902
TEST_0086,123.11949
TEST_0087,2.1937695
TEST_0088,143.14372
TEST_0089,23.414745
TEST_0090,15.567354
TEST_0091,14.26098
TEST_0092,4.0739093
TEST_0093,172.28265
TEST_0094,-2.7840345
TEST_0095,-1.736754
TEST_0096,195.97212
TEST_0097,115.63993
TEST_0098,175.34743
TEST_0099,168.95705
TEST_0100,-3.3839636
TEST_0101,98.63194
TEST_0102,148.2588
TEST_0103,146.65134
TEST_0104,55.836273
TEST_0105,164.80144
TEST_0106,18.47652
TEST_0107,3.3410313
TEST_0108,166.35573
TEST_0109,9.502361
TEST_0110,96.7773
TEST_0111,180.26788
TEST_0112,24.656075
TEST_0113,143.44258
TEST_0114,37.96957
TEST_0115,78.43364
TEST_0116,81.84299
TEST_0117,68.80272
TEST_0118,0.2182016
TEST_0119,-2.362184
TEST_0120,157.6923
TEST_0121,37.962467
TEST_0122,29.76342
TEST_0123,4.3793235
TEST_0124,8.666673
TEST_0125,103.085175
TEST_0126,29.441755
TEST_0127,48.17919
TEST_0128,100.930534
TEST_0129,70.25421
TEST_0130,49.028988
TEST_0131,165.03725
TEST_0132,60.974133
TEST_0133,141.851
TEST_0134,105.91031
TEST_0135,68.09781
TEST_0136,70.20307
TEST_0137,57.067715
TEST_0138,146.05168
TEST_0139,7.6460295
TEST_0140,110.717354
TEST_0141,4.845058
TEST_0142,107.0966
TEST_0143,23.262526
TEST_0144,-1.9360244
TEST_0145,6.8468904
TEST_0146,158.1017
TEST_0147,89.900604
TEST_0148,123.17572
TEST_0149,73.60064
TEST_0150,34.06658
TEST_0151,76.330605
TEST_0152,68.91944
TEST_0153,2.96696
TEST_0154,96.464294
TEST_0155,51.078983
TEST_0156,136.62059
TEST_0157,13.464565
TEST_0158,187.74078
TEST_0159,26.006634
TEST_0160,133.55077
TEST_0161,98.55002
TEST_0162,108.08887
TEST_0163,142.6083
TEST_0164,56.93272
TEST_0165,7.492221
TEST_0166,20.853025
TEST_0167,105.82056
TEST_0168,190.98639
TEST_0169,105.66074
TEST_0170,63.12238
TEST_0171,73.92205
TEST_0172,-3.6073902
TEST_0173,82.66814
TEST_0174,1.3596194
TEST_0175,38.20028
TEST_0176,-0.71788126
TEST_0177,52.245678
TEST_0178,173.1012
TEST_0179,175.4761
TEST_0180,27.831806
TEST_0181,73.20419
TEST_0182,63.213
TEST_0183,117.23801
TEST_0184,124.93783
TEST_0185,77.52771
TEST_0186,-0.27103403
TEST_0187,28.134958
TEST_0188,144.71669
TEST_0189,-0.563247
TEST_0190,20.88023
TEST_0191,-2.8291714
TEST_0192,160.85811
TEST_0193,26.012575
TEST_0194,172.2583
TEST_0195,92.47802
TEST_0196,-2.273439
TEST_0197,172.38594
TEST_0198,-2.7097425
TEST_0199,-0.22307043
TEST_0200,3.6907196
TEST_0201,111.22331
TEST_0202,4.5431223
TEST_0203,28.415268
TEST_0204,87.193344
TEST_0205,95.01224
TEST_0206,128.90627
TEST_0207,77.91942
TEST_0208,0.20609827
TEST_0209,67.10052
TEST_0210,53.13717
TEST_0211,190.7636
