ID,Calories_Burned
TEST_0000,24113.527
TEST_0001,25722.254
TEST_0002,18806.04
TEST_0003,24334.598
TEST_0004,27154.477
TEST_0005,24263.027
TEST_0006,21278.352
TEST_0007,18583.98
TEST_0008,20973.809
TEST_0009,18861.55
TEST_0010,22882.096
TEST_0011,17415.582
TEST_0012,17078.611
TEST_0013,24550.777
TEST_0014,25867.32
TEST_0015,16055.166
TEST_0016,21687.455
TEST_0017,23446.867
TEST_0018,24231.086
TEST_0019,15350.759
TEST_0020,19268.676
TEST_0021,21182.33
TEST_0022,17133.012
TEST_0023,21011.904
TEST_0024,17659.621
TEST_0025,23080.545
TEST_0026,21799.793
TEST_0027,25449.2
TEST_0028,22673.68
TEST_0029,21518.887
TEST_0030,17333.994
TEST_0031,26247.918
TEST_0032,19757.656
TEST_0033,18572.031
TEST_0034,23341.117
TEST_0035,22712.693
TEST_0036,18073.025
TEST_0037,22901.729
TEST_0038,17015.523
TEST_0039,22238.14
TEST_0040,25119.93
TEST_0041,24097.54
TEST_0042,23811.367
TEST_0043,18869.818
TEST_0044,18802.877
TEST_0045,19138.691
TEST_0046,21034.783
TEST_0047,25976.375
TEST_0048,23308.094
TEST_0049,23197.844
TEST_0050,17068.28
TEST_0051,21670.96
TEST_0052,24502.762
TEST_0053,21793.66
TEST_0054,18393.074
TEST_0055,21492.818
TEST_0056,24264.338
TEST_0057,17393.273
TEST_0058,16916.45
TEST_0059,21570.057
TEST_0060,18622.686
TEST_0061,21343.988
TEST_0062,20232.715
TEST_0063,18372.316
TEST_0064,18208.586
TEST_0065,22650.812
TEST_0066,26129.799
TEST_0067,22339.469
TEST_0068,21092.223
TEST_0069,17163.709
TEST_0070,23275.697
TEST_0071,17634.25
TEST_0072,16481.71
TEST_0073,23300.71
TEST_0074,18644.646
TEST_0075,20441.2
TEST_0076,19335.168
TEST_0077,19290.328
TEST_0078,19606.818
TEST_0079,24351.371
TEST_0080,24460.64
TEST_0081,23490.17
TEST_0082,20971.725
TEST_0083,21821.605
TEST_0084,18568.229
TEST_0085,24916.328
TEST_0086,22870.924
TEST_0087,14747.063
TEST_0088,23825.338
TEST_0089,18597.709
TEST_0090,17289.75
TEST_0091,17685.492
TEST_0092,17684.484
TEST_0093,25098.809
TEST_0094,14984.685
TEST_0095,14861.8955
TEST_0096,26630.797
TEST_0097,23630.398
TEST_0098,25541.193
TEST_0099,24012.332
TEST_0100,14894.292
TEST_0101,20319.945
TEST_0102,24572.762
TEST_0103,24990.68
TEST_0104,19813.06
TEST_0105,23647.389
TEST_0106,18175.844
TEST_0107,16991.988
TEST_0108,25351.621
TEST_0109,15472.628
TEST_0110,22014.14
TEST_0111,24905.098
TEST_0112,19086.049
TEST_0113,23564.111
TEST_0114,19555.5
TEST_0115,20506.965
TEST_0116,20860.818
TEST_0117,19941.385
TEST_0118,15241.202
TEST_0119,15043.636
TEST_0120,24142.078
TEST_0121,18901.398
TEST_0122,17622.9
TEST_0123,17456.184
TEST_0124,16842.707
TEST_0125,21215.691
TEST_0126,17749.113
TEST_0127,18040.682
TEST_0128,21906.621
TEST_0129,20059.848
TEST_0130,18053.246
TEST_0131,24956.64
TEST_0132,19160.912
TEST_0133,23288.637
TEST_0134,21054.36
TEST_0135,19823.441
TEST_0136,19804.531
TEST_0137,18663.453
TEST_0138,24355.697
TEST_0139,17373.98
TEST_0140,22876.473
TEST_0141,15350.812
TEST_0142,21742.04
TEST_0143,19284.906
TEST_0144,14697.318
TEST_0145,18493.133
TEST_0146,24532.543
TEST_0147,20453.975
TEST_0148,22723.686
TEST_0149,21040.79
TEST_0150,17494.549
TEST_0151,20702.96
TEST_0152,20438.852
TEST_0153,15619.484
TEST_0154,21578.441
TEST_0155,19432.959
TEST_0156,22808.973
TEST_0157,19110.086
TEST_0158,25264.496
TEST_0159,17841.443
TEST_0160,22414.332
TEST_0161,20552.145
TEST_0162,21074.852
TEST_0163,23578.121
TEST_0164,19597.059
TEST_0165,16228.578
TEST_0166,18184.506
TEST_0167,22928.623
TEST_0168,26136.922
TEST_0169,21889.455
TEST_0170,19467.281
TEST_0171,20491.816
TEST_0172,13661.376
TEST_0173,21811.969
TEST_0174,15815.204
TEST_0175,18054.701
TEST_0176,13538.155
TEST_0177,19165.463
TEST_0178,24092.309
TEST_0179,25459.363
TEST_0180,18441.418
TEST_0181,20413.102
TEST_0182,20391.59
TEST_0183,22282.734
TEST_0184,21961.02
TEST_0185,19731.062
TEST_0186,15964.921
TEST_0187,19351.01
TEST_0188,24302.848
TEST_0189,15859.734
TEST_0190,17561.63
TEST_0191,14995.509
TEST_0192,24882.031
TEST_0193,18012.398
TEST_0194,24567.01
TEST_0195,21536.357
TEST_0196,14935.2295
TEST_0197,25255.238
TEST_0198,14951.266
TEST_0199,15654.574
TEST_0200,16019.9795
TEST_0201,22822.996
TEST_0202,17661.143
TEST_0203,17879.58
TEST_0204,21452.084
TEST_0205,20642.906
TEST_0206,23449.535
TEST_0207,21437.184
TEST_0208,15291.554
TEST_0209,19468.627
TEST_0210,20646.875
TEST_0211,25325.441
TEST_0212,24774.332
TEST_0213,16841.564
TEST_0214,18022.998
TEST_0215,20783.457
TEST_0216,21713.668
TEST_0217,23821.982
TEST_0218,18767.535
TEST_0219,20132.191
TEST_0220,25677.254
TEST_0221,19509.094
TEST_0222,23690.738
TEST_0223,24791.018
TEST_0224,19989.469
TEST_0225,17879.982
TEST_0226,20120.656
TEST_0227,22667.148
TEST_0228,18513.863
TEST_0229,14794.283
TEST_0230,19595.707
TEST_0231,18937.455
TEST_0232,19271.27
TEST_0233,19400.707
TEST_0234,17237.195
TEST_0235,17917.852
TEST_0236,23176.008
TEST_0237,16498.86
TEST_0238,23766.934
TEST_0239,17109.861
TEST_0240,17455.111
TEST_0241,26009.875
TEST_0242,20806.379
TEST_0243,14908.513
TEST_0244,19611.035
TEST_0245,20701.967
TEST_0246,19173.99
TEST_0247,23128.152
TEST_0248,18762.287
TEST_0249,16680.564
TEST_0250,18849.98
TEST_0251,21243.07
TEST_0252,18124.379
TEST_0253,21599.768
TEST_0254,21996.613
TEST_0255,18181.541
TEST_0256,16359.498
TEST_0257,22051.492
TEST_0258,23605.516
TEST_0259,15947.8545
TEST_0260,17459.21
TEST_0261,19728.996
TEST_0262,17933.752
TEST_0263,16176.938
TEST_0264,15924.9
TEST_0265,13162.472
TEST_0266,20304.064
TEST_0267,16351.689
TEST_0268,20326.055
TEST_0269,25112.508
TEST_0270,21269.258
TEST_0271,22383.883
TEST_0272,16593.752
TEST_0273,23207.062
TEST_0274,15647.056
TEST_0275,18291.637
TEST_0276,19795.02
TEST_0277,23619.654
TEST_0278,15980.407
TEST_0279,19360.398
TEST_0280,24806.059
TEST_0281,21668.77
TEST_0282,16989.943
TEST_0283,15935.14
TEST_0284,24775.887
TEST_0285,17683.242
TEST_0286,17235.145
TEST_0287,18955.773
TEST_0288,21684.781
TEST_0289,17263.193
TEST_0290,24457.023
TEST_0291,19147.217
TEST_0292,19453.896
TEST_0293,18729.457
TEST_0294,24071.664
TEST_0295,18589.822
TEST_0296,20854.352
TEST_0297,22337.688
TEST_0298,23616.852
TEST_0299,25258.684
TEST_0300,26391.477
TEST_0301,14890.494
TEST_0302,25510.654
TEST_0303,20967.82
TEST_0304,20564.273
TEST_0305,23326.531
TEST_0306,19300.295
TEST_0307,25990.553
TEST_0308,24864.816
TEST_0309,23351.846
TEST_0310,21069.988
TEST_0311,16476.602
TEST_0312,23984.826
TEST_0313,21247.02
TEST_0314,25506.426
TEST_0315,24764.36
TEST_0316,26273.932
TEST_0317,24837.879
TEST_0318,19711.562
TEST_0319,26478.309
TEST_0320,26516.771
TEST_0321,21113.906
TEST_0322,24443.582
TEST_0323,20040.258
TEST_0324,18645.148
TEST_0325,15933.657
TEST_0326,21876.777
TEST_0327,20859.805
TEST_0328,20262.195
TEST_0329,19875.87
TEST_0330,15947.532
TEST_0331,22530.504
TEST_0332,16734.338
TEST_0333,20924.088
TEST_0334,17603.34
TEST_0335,21722.57
TEST_0336,23276.783
TEST_0337,23751.762
TEST_0338,21510.05
TEST_0339,21817.723
TEST_0340,16779.008
TEST_0341,25133.893
TEST_0342,19798.076
TEST_0343,23022.854
TEST_0344,21189.617
TEST_0345,16167.547
TEST_0346,17010.818
TEST_0347,19959.438
TEST_0348,17859.04
TEST_0349,24119.2
TEST_0350,24747.451
TEST_0351,19102.555
TEST_0352,23033.738
TEST_0353,19538.2
TEST_0354,19935.6
TEST_0355,14998.026
TEST_0356,24021.598
TEST_0357,24806.19
TEST_0358,22532.863
TEST_0359,23053.879
TEST_0360,20784.303
TEST_0361,22555.994
TEST_0362,23375.846
TEST_0363,17565.133
TEST_0364,24360.65
TEST_0365,16672.133
TEST_0366,22759.285
TEST_0367,16258.974
TEST_0368,25880.7
TEST_0369,22479.3
TEST_0370,15532.458
TEST_0371,22278.611
TEST_0372,20273.402
TEST_0373,23373.562
TEST_0374,16107.591
TEST_0375,25294.307
TEST_0376,26097.34
TEST_0377,25754.338
TEST_0378,17783.05
TEST_0379,20067.336
TEST_0380,23988.82
TEST_0381,16956.887
TEST_0382,17033.764
TEST_0383,26044.469
TEST_0384,16230.515
